example_id,customer_message,conversation_context,intent,historical_resolution,expected_action,difficulty,notes
gold_059,Where can I track the return progress of my parcel back to the fulfillment center?,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,return_and_refund,"State standard refund processing timeline (typically 3-5 business days after receipt), explain label-free return options via Returns Center, offer link to track refund status.",AUTO_HANDLE,easy,Return package tracking inquiry.
gold_060,Can someone pick up a bulky furniture return directly from my house?,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,return_and_refund,"State standard refund processing timeline (typically 3-5 business days after receipt), explain label-free return options via Returns Center, offer link to track refund status.",AUTO_HANDLE,easy,Heavy/bulky item return pickup process.
gold_061,"Tracking shows return parcel was received at your warehouse on Monday, but status still says refund pending.",Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,return_and_refund,"State standard refund processing timeline (typically 3-5 business days after receipt), explain label-free return options via Returns Center, offer link to track refund status.",AUTO_HANDLE,medium,Warehouse processing delay post-receipt.
gold_062,"My bank account closed after I made the purchase, how can I redirect my refund to a new account?",Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,return_and_refund,"State standard refund processing timeline (typically 3-5 business days after receipt), explain label-free return options via Returns Center, offer link to track refund status.",AUTO_HANDLE,medium,Refund destination on closed account.
gold_063,"The QR code at Whole Foods failed to scan for my return, can you regenerate it?",Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,return_and_refund,"State standard refund processing timeline (typically 3-5 business days after receipt), explain label-free return options via Returns Center, offer link to track refund status.",AUTO_HANDLE,medium,Drop-off barcode failure.
gold_064,"I was told I would get a full refund including express shipping charges, but only item price was refunded.",Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,return_and_refund,"State standard refund processing timeline (typically 3-5 business days after receipt), explain label-free return options via Returns Center, offer link to track refund status.",AUTO_HANDLE,medium,Disputed shipping fee refund.
gold_065,How long do I have to drop off the return after generating the return label?,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,return_and_refund,"State standard refund processing timeline (typically 3-5 business days after receipt), explain label-free return options via Returns Center, offer link to track refund status.",AUTO_HANDLE,medium,Return label expiration date inquiry.
gold_066,Can I exchange an item for a different color directly instead of doing a return and re-ordering?,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,return_and_refund,"State standard refund processing timeline (typically 3-5 business days after receipt), explain label-free return options via Returns Center, offer link to track refund status.",AUTO_HANDLE,medium,Direct item exchange availability.
gold_067,"Return status says refund completed on Nov 3, but my credit card statement shows nothing.",Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,return_and_refund,"State standard refund processing timeline (typically 3-5 business days after receipt), explain label-free return options via Returns Center, offer link to track refund status.",AUTO_HANDLE,medium,Interbank processing window explanation needed.
gold_068,I want to return a gift I received without the person who bought it finding out.,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,return_and_refund,"State standard refund processing timeline (typically 3-5 business days after receipt), explain label-free return options via Returns Center, offer link to track refund status.",AUTO_HANDLE,medium,Discreet gift return workflow.
gold_069,"UPS lost the return package on the way back to Amazon, and now you won't issue my refund!",Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,return_and_refund,"State standard refund processing timeline (typically 3-5 business days after receipt), explain label-free return options via Returns Center, offer link to track refund status.",AUTO_HANDLE,hard,Lost return in transit by carrier.
gold_070,Amazon charged a 20% restocking fee on my return even though the item was unopened.,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,return_and_refund,"State standard refund processing timeline (typically 3-5 business days after receipt), explain label-free return options via Returns Center, offer link to track refund status.",AUTO_HANDLE,hard,Disputed restocking fee on return.
gold_071,Return center claims they received an incorrect item and rejected my $400 refund.,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,return_and_refund,"State standard refund processing timeline (typically 3-5 business days after receipt), explain label-free return options via Returns Center, offer link to track refund status.",AUTO_HANDLE,hard,Fulfillment center return rejection dispute.
gold_072,Can I return opened software/video games that turned out to be incompatible with my PC?,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,return_and_refund,"State standard refund processing timeline (typically 3-5 business days after receipt), explain label-free return options via Returns Center, offer link to track refund status.",AUTO_HANDLE,hard,Non-returnable media policy clarification.
gold_073,I printed the return label but left it in the rain and the barcode is smudged.,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,return_and_refund,"State standard refund processing timeline (typically 3-5 business days after receipt), explain label-free return options via Returns Center, offer link to track refund status.",AUTO_HANDLE,hard,Reprinting return authorization documentation.
gold_074,My return authorization expired while I was hospitalized. Can I get an extension?,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,return_and_refund,"State standard refund processing timeline (typically 3-5 business days after receipt), explain label-free return options via Returns Center, offer link to track refund status.",AUTO_HANDLE,hard,Special accommodation for expired return window.
gold_075,"I returned 4 items in one box with 4 different labels, only one item got refunded.",Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,return_and_refund,"State standard refund processing timeline (typically 3-5 business days after receipt), explain label-free return options via Returns Center, offer link to track refund status.",AUTO_HANDLE,hard,Multi-item consolidation return mismatch.
gold_076,I placed an order 5 minutes ago and want to cancel it immediately. How do I do that?,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,order_cancellation_or_change,"Instruct customer to visit Your Orders > Cancel Items if still in pending status; clarify that once dispatched, address cannot be changed and must be returned upon delivery.",AUTO_HANDLE,easy,Immediate self-service cancellation.
gold_077,Can I change the delivery address on order #114-9283719 before it ships?,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,order_cancellation_or_change,"Instruct customer to visit Your Orders > Cancel Items if still in pending status; clarify that once dispatched, address cannot be changed and must be returned upon delivery.",AUTO_HANDLE,easy,Address modification before dispatch.
gold_078,"I accidentally ordered two of the same item, please cancel one of them.",Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,order_cancellation_or_change,"Instruct customer to visit Your Orders > Cancel Items if still in pending status; clarify that once dispatched, address cannot be changed and must be returned upon delivery.",AUTO_HANDLE,easy,Duplicate order item cancellation.
gold_079,I want to cancel my pre-order for the upcoming video game.,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,order_cancellation_or_change,"Instruct customer to visit Your Orders > Cancel Items if still in pending status; clarify that once dispatched, address cannot be changed and must be returned upon delivery.",AUTO_HANDLE,easy,Pre-order cancellation request.
gold_080,Can I change the payment card used for an order that hasn't shipped yet?,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,order_cancellation_or_change,"Instruct customer to visit Your Orders > Cancel Items if still in pending status; clarify that once dispatched, address cannot be changed and must be returned upon delivery.",AUTO_HANDLE,easy,Updating payment method on pending order.
gold_081,How do I upgrade the shipping speed on an existing order to One-Day delivery?,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,order_cancellation_or_change,"Instruct customer to visit Your Orders > Cancel Items if still in pending status; clarify that once dispatched, address cannot be changed and must be returned upon delivery.",AUTO_HANDLE,easy,Shipping speed upgrade on open order.
gold_082,I clicked cancel on my order but it says 'cancellation requested'. Is it cancelled?,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,order_cancellation_or_change,"Instruct customer to visit Your Orders > Cancel Items if still in pending status; clarify that once dispatched, address cannot be changed and must be returned upon delivery.",AUTO_HANDLE,easy,Pending cancellation status explanation.
gold_083,"Please stop shipment on my order, I entered the wrong zip code!",Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,order_cancellation_or_change,"Instruct customer to visit Your Orders > Cancel Items if still in pending status; clarify that once dispatched, address cannot be changed and must be returned upon delivery.",AUTO_HANDLE,easy,Urgent address correction request.
gold_084,Can I add another item to my existing order so they ship together?,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,order_cancellation_or_change,"Instruct customer to visit Your Orders > Cancel Items if still in pending status; clarify that once dispatched, address cannot be changed and must be returned upon delivery.",AUTO_HANDLE,easy,Order consolidation inquiry.
gold_085,How do I cancel a recurring Subscribe & Save delivery?,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,order_cancellation_or_change,"Instruct customer to visit Your Orders > Cancel Items if still in pending status; clarify that once dispatched, address cannot be changed and must be returned upon delivery.",AUTO_HANDLE,easy,Subscribe & Save delivery cancellation.
gold_086,The cancel button is greyed out on my order even though it hasn't shipped yet.,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,order_cancellation_or_change,"Instruct customer to visit Your Orders > Cancel Items if still in pending status; clarify that once dispatched, address cannot be changed and must be returned upon delivery.",AUTO_HANDLE,medium,Shipping preparation stage lock.
gold_087,Can I reroute my package to an Amazon Locker instead of my home address while it's in transit?,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,order_cancellation_or_change,"Instruct customer to visit Your Orders > Cancel Items if still in pending status; clarify that once dispatched, address cannot be changed and must be returned upon delivery.",AUTO_HANDLE,medium,In-transit rerouting to locker.
gold_088,"I updated my default address on my profile, why did my recent order still go to my old address?",Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,order_cancellation_or_change,"Instruct customer to visit Your Orders > Cancel Items if still in pending status; clarify that once dispatched, address cannot be changed and must be returned upon delivery.",AUTO_HANDLE,medium,Profile address vs active order address nuance.
gold_089,Order was cancelled by Amazon without my permission. Why did this happen?,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,order_cancellation_or_change,"Instruct customer to visit Your Orders > Cancel Items if still in pending status; clarify that once dispatched, address cannot be changed and must be returned upon delivery.",AUTO_HANDLE,medium,Automated system cancellation explanation.
gold_090,Can I change the recipient name on a gift order that was placed an hour ago?,Twitter public mention (@AmazonHelp) - First turn inbound customer inquiry,order_cancellation_or_change,"Instruct customer to visit Your Orders > Cancel Items if still in pending status; clarify that once dispatched, address cannot be changed and must be returned upon delivery.",AUTO_HANDLE,medium,Gift recipient metadata change.
