example_id,customer_message,generated_reply,human_score,llm_score,difficulty,expected_action,predicted_decision
gold_178,Who can I email to file a formal complaint against a delivery driver for rude behavior?,"We understand how important timely delivery is. Please check the real-time tracking updates under 'Your Orders' on Amazon. If the carrier marked the package delivered within the last 24 hours, carriers occasionally scan parcels early or place them in secure porch/lobby locations. If your package does not arrive by tomorrow evening, please contact us at amazon.com/contact-us.",2.0,3.6,easy,ESCALATE,AUTO_HANDLE
gold_057,How do I get a QR code for dropping off my return at the UPS Store?,"To return your item, visit 'Your Orders' and select 'Return or replace items'. You can generate a QR code for convenient label-free drop-off at participating UPS Stores, Whole Foods, or Kohl's locations. Once the carrier receives the package, refunds are typically processed within 3 to 5 business days.",5.0,4.6,easy,AUTO_HANDLE,AUTO_HANDLE
gold_153,My debit card was declined during checkout even though I have plenty of funds.,"To safeguard your financial information, billing and payment revisions require secure identity verification. Please check your payment settings under 'Your Payments' in your account, or connect directly with our billing team at amazon.com/contact-us so a specialist can review the charge with you.",5.0,4.5,easy,ESCALATE,ESCALATE
gold_083,"Please stop shipment on my order, I entered the wrong zip code!",We'd like to take a closer look into this situation with you directly. Please reach out to our support team via phone or chat at amazon.com/contact-us so an agent can assist.,2.0,3.6,easy,AUTO_HANDLE,ESCALATE
gold_069,"UPS lost the return package on the way back to Amazon, and now you won't issue my refund!","To return your item, visit 'Your Orders' and select 'Return or replace items'. You can generate a QR code for convenient label-free drop-off at participating UPS Stores, Whole Foods, or Kohl's locations. Once the carrier receives the package, refunds are typically processed within 3 to 5 business days.",4.0,4.6,hard,AUTO_HANDLE,AUTO_HANDLE
gold_125,Two-step verification app authenticator secret key lost after phone factory reset.,We are truly sorry for the frustrating experience you've encountered. We want to make this right immediately. Please connect with our dedicated customer leadership team directly via amazon.com/contact-us so a representative can review your case details and assist you right away.,4.0,4.5,hard,ESCALATE,ESCALATE
gold_017,Why does the tracker show my package traveling from New Jersey to California when I live in New York?,"We understand how important timely delivery is. Please check the real-time tracking updates under 'Your Orders' on Amazon. If the carrier marked the package delivered within the last 24 hours, carriers occasionally scan parcels early or place them in secure porch/lobby locations. If your package does not arrive by tomorrow evening, please contact us at amazon.com/contact-us.",4.5,4.7,medium,AUTO_HANDLE,AUTO_HANDLE
gold_149,"Prime delivery is consistently 3 days late in my neighborhood, can I get compensation?","We understand how important timely delivery is. Please check the real-time tracking updates under 'Your Orders' on Amazon. If the carrier marked the package delivered within the last 24 hours, carriers occasionally scan parcels early or place them in secure porch/lobby locations. If your package does not arrive by tomorrow evening, please contact us at amazon.com/contact-us.",4.0,4.5,hard,AUTO_HANDLE,AUTO_HANDLE
gold_094,"The system says order cannot be cancelled because it is preparing for shipment, but it has said that for 4 days!","We understand how important timely delivery is. Please check the real-time tracking updates under 'Your Orders' on Amazon. If the carrier marked the package delivered within the last 24 hours, carriers occasionally scan parcels early or place them in secure porch/lobby locations. If your package does not arrive by tomorrow evening, please contact us at amazon.com/contact-us.",4.0,4.5,hard,AUTO_HANDLE,AUTO_HANDLE
gold_066,Can I exchange an item for a different color directly instead of doing a return and re-ordering?,"To return your item, visit 'Your Orders' and select 'Return or replace items'. You can generate a QR code for convenient label-free drop-off at participating UPS Stores, Whole Foods, or Kohl's locations. Once the carrier receives the package, refunds are typically processed within 3 to 5 business days.",4.5,4.6,medium,AUTO_HANDLE,AUTO_HANDLE
gold_061,"Tracking shows return parcel was received at your warehouse on Monday, but status still says refund pending.","To return your item, visit 'Your Orders' and select 'Return or replace items'. You can generate a QR code for convenient label-free drop-off at participating UPS Stores, Whole Foods, or Kohl's locations. Once the carrier receives the package, refunds are typically processed within 3 to 5 business days.",4.5,4.6,medium,AUTO_HANDLE,AUTO_HANDLE
gold_085,How do I cancel a recurring Subscribe & Save delivery?,"We understand how important timely delivery is. Please check the real-time tracking updates under 'Your Orders' on Amazon. If the carrier marked the package delivered within the last 24 hours, carriers occasionally scan parcels early or place them in secure porch/lobby locations. If your package does not arrive by tomorrow evening, please contact us at amazon.com/contact-us.",5.0,4.5,easy,AUTO_HANDLE,AUTO_HANDLE
gold_068,I want to return a gift I received without the person who bought it finding out.,"To return your item, visit 'Your Orders' and select 'Return or replace items'. You can generate a QR code for convenient label-free drop-off at participating UPS Stores, Whole Foods, or Kohl's locations. Once the carrier receives the package, refunds are typically processed within 3 to 5 business days.",4.5,4.5,medium,AUTO_HANDLE,AUTO_HANDLE
gold_126,"I was just charged $139 for Amazon Prime annual renewal, but I want to cancel it for a refund.",We'd like to take a closer look into this situation with you directly. Please reach out to our support team via phone or chat at amazon.com/contact-us so an agent can assist.,2.0,3.6,easy,AUTO_HANDLE,ESCALATE
gold_133,"Kindle Unlimited is charging me $9.99 every month, how do I stop it?",We'd like to take a closer look into this situation with you directly. Please reach out to our support team via phone or chat at amazon.com/contact-us so an agent can assist.,2.0,3.6,easy,AUTO_HANDLE,ESCALATE
gold_010,Is there a delay with deliveries in the Chicago area today due to snow?,"We understand how important timely delivery is. Please check the real-time tracking updates under 'Your Orders' on Amazon. If the carrier marked the package delivered within the last 24 hours, carriers occasionally scan parcels early or place them in secure porch/lobby locations. If your package does not arrive by tomorrow evening, please contact us at amazon.com/contact-us.",5.0,4.5,easy,AUTO_HANDLE,AUTO_HANDLE
gold_019,Third time this month the driver lied about attempting delivery because they were running behind schedule.,"We understand how important timely delivery is. Please check the real-time tracking updates under 'Your Orders' on Amazon. If the carrier marked the package delivered within the last 24 hours, carriers occasionally scan parcels early or place them in secure porch/lobby locations. If your package does not arrive by tomorrow evening, please contact us at amazon.com/contact-us.",4.0,4.7,hard,AUTO_HANDLE,AUTO_HANDLE
gold_056,Do I have to pay return shipping fees for clothing items that didn't fit?,"To return your item, visit 'Your Orders' and select 'Return or replace items'. You can generate a QR code for convenient label-free drop-off at participating UPS Stores, Whole Foods, or Kohl's locations. Once the carrier receives the package, refunds are typically processed within 3 to 5 business days.",5.0,4.6,easy,AUTO_HANDLE,AUTO_HANDLE
gold_076,I placed an order 5 minutes ago and want to cancel it immediately. How do I do that?,"If your order has not entered the shipping process, you can cancel it or update your delivery address immediately by heading to 'Your Orders' and clicking 'Cancel Items' or 'Change Shipping Address'. If the order has already dispatched, you can set up a return once delivered or refuse the parcel at delivery.",5.0,4.5,easy,AUTO_HANDLE,AUTO_HANDLE
gold_151,I see two identical charges of $49.99 on my credit card statement from Amazon today.,"To safeguard your financial information, billing and payment revisions require secure identity verification. Please check your payment settings under 'Your Payments' in your account, or connect directly with our billing team at amazon.com/contact-us so a specialist can review the charge with you.",5.0,4.5,easy,ESCALATE,ESCALATE
